date,Ttb,Tx,Tn,R,Utb,Un
2014-01-01,12.8,23.0,6.5,0.0,75.0,39.0
2014-01-02,14.0,23.0,7.6,0.0,75.0,43.0
2014-01-03,16.2,24.4,10.6,0.0,75.0,43.0
2014-01-04,16.2,24.4,10.6,0.0,75.0,43.0
2014-01-05,16.2,22.6,15.5,0.0,76.0,49.0
2014-01-06,16.7,22.6,15.5,0.0,85.0,66.0
2014-01-07,18.9,25.0,16.6,1.0,85.0,66.0
2014-01-08,18.9,25.0,16.6,0.0,79.0,63.0
2014-01-09,15.3,16.7,14.3,0.0,79.0,63.0
2014-01-10,14.7,16.4,13.3,0.0,80.0,69.0
2014-01-11,14.7,16.4,13.3,0.0,80.0,69.0
2014-01-12,14.7,16.4,13.3,1.0,73.0,63.0
2014-01-13,13.1,16.6,11.5,0.0,59.0,57.0
2014-01-14,10.9,20.6,4.5,0.0,59.0,57.0
2014-01-15,10.9,21.0,4.5,0.0,72.0,41.0
2014-01-16,11.4,21.5,4.9,0.0,74.0,48.0
2014-01-17,13.6,21.6,7.9,0.0,74.0,41.0
2014-01-18,13.6,22.4,7.9,0.0,73.0,34.0
2014-01-19,13.8,22.4,8.4,0.0,72.0,34.0
2014-01-20,12.8,22.4,6.2,0.0,70.0,34.0
2014-01-21,12.3,22.5,5.9,0.0,67.0,31.0
2014-01-22,10.1,22.5,2.3,0.0,67.0,30.0
2014-01-23,10.1,21.5,2.3,0.0,67.0,30.0
2014-01-24,12.7,21.5,5.5,0.0,76.0,51.0
2014-01-25,17.3,21.5,14.5,0.0,77.0,55.0
2014-01-26,17.8,24.0,15.0,1.0,78.0,55.0
2014-01-27,17.8,21.3,15.2,0.0,81.0,63.0
2014-01-28,18.0,22.0,15.2,0.0,81.0,63.0
2014-01-29,18.0,22.0,15.2,0.0,81.0,63.0
2014-01-30,18.9,26.5,15.0,0.0,79.0,51.0
2014-01-31,18.9,26.5,14.6,0.0,78.0,51.0
2014-02-01,18.9,26.5,14.6,0.0,78.0,56.0
2014-02-02,19.5,26.0,15.9,0.0,78.0,56.0
2014-02-03,19.9,26.5,16.4,0.0,78.0,56.0
2014-02-04,20.4,26.5,16.4,0.0,77.0,57.0
2014-02-05,22.2,27.0,19.5,0.0,77.0,61.0
2014-02-06,22.9,27.5,19.5,0.0,77.0,61.0
2014-02-07,22.9,27.5,19.0,0.0,78.0,61.0
2014-02-08,18.1,19.0,16.5,1.0,82.0,66.0
2014-02-09,16.8,18.5,14.0,1.0,82.0,66.0
2014-02-10,11.7,14.0,10.8,0.0,62.0,57.0
2014-02-11,10.3,13.2,8.2,0.0,62.0,57.0
2014-02-12,10.3,14.0,8.2,0.0,63.0,53.0
2014-02-13,11.1,15.4,8.6,0.0,63.0,51.0
2014-02-14,11.6,15.4,9.7,0.0,63.0,51.0
2014-02-15,12.2,16.5,10.1,0.0,77.0,64.0
2014-02-16,13.1,16.5,11.0,1.0,86.0,70.0
2014-02-17,14.5,16.5,11.6,1.0,86.0,70.0
2014-02-18,14.5,16.5,11.6,1.0,80.0,61.0
2014-02-19,11.3,16.5,9.4,1.0,72.0,54.0
2014-02-20,11.3,16.0,9.4,0.0,72.0,54.0
2014-02-21,12.5,17.0,9.5,0.0,79.0,56.0
2014-02-22,14.7,16.8,12.8,1.0,92.0,86.0
2014-02-23,15.3,17.0,14.2,1.0,93.0,86.0
2014-02-24,17.3,19.3,15.3,1.0,93.0,86.0
2014-02-25,19.3,21.5,17.6,1.0,93.0,82.0
